Trait,ANumber,Sequence
Triangle,A173018,[1 1 0 1 1 0 1 4 1 0 1 11 11 1 0 1 26 66 26 1 0 1 57 302 302 57 1 0 1 ]
Reverse,A123125,[1 0 1 0 1 1 0 1 4 1 0 1 11 11 1 0 1 26 66 26 1 0 1 57 302 302 57 1 0 ]
InvRev,A055325,[1 0 1 0 -1 1 0 3 -4 1 0 -23 33 -11 1 0 425 -620 220 -26 1 0 -18129 ]
DiagTri,A344393,[1 1 1 0 1 1 1 4 0 1 11 1 1 26 11 0 1 57 66 1 1 120 302 26 0 1 247 ]
PolyTri,A332700,[1 1 1 1 1 1 1 2 1 1 1 6 3 1 1 1 24 13 4 1 1 1 120 75 22 5 1 1 1 720 ]
Sum,A000142,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]        
EvenSum,A128103,[1 1 1 2 12 68 360 2384 20160 185408 1814400 19781504 239500800 ]
OddSum,A262745,[0 0 1 4 12 52 360 2656 20160 177472 1814400 20135296 239500800 ]  
AltSum,A009006,[1 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
DiagSum,A000800,[1 1 1 2 5 13 38 125 449 1742 7269 32433 153850 772397 4088773 ]  
Middle,A006551,[1 1 1 4 11 66 302 2416 15619 156190 1310354 15724248 162512286 ]
Central,A180056,[1 1 11 302 15619 1310354 162512286 27971176092 6382798925475 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
RightSide,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
PosHalf,A000670,[1 1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
NegHalf,A087674,[1 1 -1 -3 15 21 -441 477 19935 -101979 -1150281 14838957 60479055 ]
PolyVal2,A000670,[1 1 3 13 75 541 4683 47293 545835 7087261 102247563 1622632573 ]
PolyVal3,A122704,[1 1 4 22 160 1456 15904 202672 2951680 48361216 880405504 ]
PolyValn,A122778,[1 1 3 22 285 5656 158095 5881968 279768825 16507789696 1180490926131 ]
BinConv,A011818,[1 1 3 16 115 1056 11774 154624 2337507 39984640 763546234 ]
IBinConv,A344052,[1 -1 -1 8 19 -276 -1002 21216 103395 -2881180 -17620142 609297072 ]
TransSqrs,A344054,[0 0 1 8 64 540 4920 48720 524160 6108480 76809600 1037836800 ]
TransNat0,A180119,[0 0 1 6 36 240 1800 15120 141120 1451520 16329600 199584000 ]
TransNat1,A001710,[1 1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ] 
